Titre,Auteur,Nationalité,EAN,mois_début,jour_début,Année_début,date_début,mois_fin,jour_fin,année_fin,date_fin,ecart_date,Genre auteur,Format,Pages,Editeur
DJ Bambi,Auður Ava Ólafsdóttir,Islandaise,9791038703933,9,23,2025,2025-09-23T00:00:00Z,9,28,2025,2025-09-28T00:00:00Z,5,F,Broché,208,Zulma
Le bleu et le noir,Clélia Lacam,Française,9782753589810,9,24,2025,2025-09-24T00:00:00Z,10,10,2025,2025-10-10T00:00:00Z,16,F,Broché,432,PUR
La petite bonne,Bérénice Pichat,Française,9782383110293,10,6,2025,2025-06-10T00:00:00Z,10,9,2025,2025-09-10T00:00:00Z,3,F,Ebook,272,Les Avrils
Les oiselles sauvages,Pauline Gonthier,Française,9782260054955,10,10,2025,2025-10-10T00:00:00Z,10,13,2025,2025-10-13T00:00:00Z,3,F,Ebook,208,Julliard
La Maison vide,Laurent Mauvignier,Française,9782707356741,10,13,2025,2025-10-13T00:00:00Z,11,5,2025,2025-05-11T00:00:00Z,23,M,Ebook,752,Minuit
40 ans de musiques Hip Hop en France,Coll.,Française,9782724638905,10,25,2025,2025-10-25T00:00:00Z,11,4,2025,2025-04-11T00:00:00Z,10,C,Broché,243,Presse de Science Po
Les Forces,Laura Vasquez,Française,9782386630224,11,5,2025,2025-05-11T00:00:00Z,11,14,2025,2025-11-14T00:00:00Z,9,F,Broché,304,Sous-Sol
L’échappée bretonne,Régis Delanoë,Française,9791096883134,11,7,2025,2025-07-11T00:00:00Z,11,9,2025,2025-09-11T00:00:00Z,2,M,Broché,320,Coin de la rue
Passés contestés et présents numériques,Daniel Foliard et Julien Schuh,Française,9782385191122,11,10,2025,2025-10-11T00:00:00Z,11,15,2025,2025-11-15T00:00:00Z,5,M,Broché,120,Le bord de l’eau
Une immense sensation de calme,Laurine Roux,Française,9782373850765,11,15,2025,2025-11-15T00:00:00Z,11,17,2025,2025-11-17T00:00:00Z,2,F,Ebook,144,Du Sonneur
Sur l’épaule des géants,Laurine Roux,Française,9782373852691,11,17,2025,2025-11-17T00:00:00Z,11,23,2025,2025-11-23T00:00:00Z,6,F,Ebook,384,Du Sonneur
Chronique du figuier barbare,Sahar Khalifa,Palestinienne,9782070299591,11,23,2025,2025-11-23T00:00:00Z,11,27,2025,2025-11-27T00:00:00Z,4,F,Ebook,208,Gallimard
Les Petits de Décembre,Kaouther Adimi,Algérienne,9782021430806,11,27,2025,2025-11-27T00:00:00Z,11,30,2025,2025-11-30T00:00:00Z,3,F,Ebook,256,Seuil
Parthenia,Pauline Gonthier,Française,9782488335058,12,1,2025,2025-01-12T00:00:00Z,12,4,2025,2025-04-12T00:00:00Z,3,F,Ebook,270,Les léonides
Pearl,Siân Hugues,Britannique,9782386010187,12,4,2025,2025-04-12T00:00:00Z,12,12,2025,2025-12-12T00:00:00Z,8,F,Ebook,336,Le bruit du monde
La passagère des neiges,Ayfer Tunç,Turque,9791038702912,12,12,2025,2025-12-12T00:00:00Z,12,21,2025,2025-12-21T00:00:00Z,9,F,Ebook,240,Zulma
Le rapt d’internet,Cory Doctorow,Canadienne,9782376620921,12,8,2025,2025-08-12T00:00:00Z,12,23,2025,2025-12-23T00:00:00Z,11,M,Broché,240,C&F
