Titre,QID_ouvrage,Auteur,image,QID_Auteur,pays de nationalité,Nationalité,EAN,mois_début,jour_début,Année_début,date_début,mois_fin,jour_fin,année_fin,date_fin,ecart_date,Genre auteur,Format,Pages,Editeur
L’impossible patrimoine numérique ?,,Hélène Bourdeloie et Christine Chevret-Castellani,,,,Française,9782356875167,1,5,2022,2022-01-05T00:00:00Z,1,11,2022,2022-01-11T00:00:00Z,6,F,Broché,143,Le Bord de l’eau
Ruines biens rangées,,Hélène Cixous,Hélène Cixous par Claude Truong-Ngoc 2011.jpg,Q234964,France,Française,9782072860188,2,2,2022,2022-02-02T00:00:00Z,2,6,2022,2022-02-06T00:00:00Z,4,F,Ebook,160,Gallimard
Sans ciel ni terre,,Hélène Dumas,Hélène Dumas 2014.png,Q46034408,France,Française,9782348057892,8,31,2023,2023-08-31T00:00:00Z,9,6,2023,2023-09-06T00:00:00Z,6,F,Broché,307,La Découverte
Des blancs comme les autres ?,,Illana Weizman,Illana Weizman par Marie Rouge dans Libération.jpg,Q107001797,France,Française | Israélienne,9782234092365,3,8,2023,2023-03-08T00:00:00Z,3,12,2023,2023-03-12T00:00:00Z,4,F,Ebook,232,Stock
Le Votant,Q2079836,Isaac Asimov,Isaac.Asimov01.jpg,Q34981,Russie soviétique,Américaine,9782369352297,11,9,2020,2020-11-09T00:00:00Z,11,11,2020,2020-11-11T00:00:00Z,2,M,Broché,56,Passager clandestin
Carnet de mémoires coloniales,,Isabela Figueiredo,Isabela Figueiredo-FIG 2022.jpg,Q30244378,Portugal,Portugaise,9782367322223,3,2,2022,2022-03-02T00:00:00Z,3,5,2022,2022-03-05T00:00:00Z,3,F,Ebook,238,Chandeigne
Photo de famille,,Isabelle Clair et Elsa Dorlin,,,,Française,9782713229176,8,15,2022,2022-08-15T00:00:00Z,8,24,2022,2022-08-24T00:00:00Z,9,F,Broché,464,EHESS
Le complexe de la sorcière,,Isabelle Sorente,,Q3155034,France,Française,9782709666268,4,16,2020,2020-04-16T00:00:00Z,4,20,2020,2020-04-20T00:00:00Z,4,F,Ebook,300,Lattes
Harry Potter à l'école des sorciers,,J. K. Rowling,J. K. Rowling 2010.jpg,Q34660,Royaume-Uni,Britannique,9782070584628,12,1,2020,2020-12-01T00:00:00Z,12,8,2020,2020-12-08T00:00:00Z,7,F,Broché,320,Gallimard
Harry Potter et la Chambre des secrets,,J. K. Rowling,J. K. Rowling 2010.jpg,Q34660,Royaume-Uni,Britannique,9782070584642,1,14,2021,2021-01-14T00:00:00Z,2,1,2021,2021-02-01T00:00:00Z,18,F,Broché,368,European Schoolbooks Ltd
Les statues de la discorde,,Jacqueline Lalouette,Jacqueline Lalouette.png,Q3157747,France,Française,9782379336409,10,2,2023,2023-10-02T00:00:00Z,10,6,2023,2023-10-06T00:00:00Z,4,F,Ebook,240,Passés composés
Mal d'archive. Une impression freudienne,,Jacques Derrida,Jaques Derrida (cropped).jpg,Q130631,France,Française,9782718604541,1,29,2021,2021-01-29T00:00:00Z,2,1,2021,2021-02-01T00:00:00Z,3,M,Broché,150,Galilée
Meurtres à Atlanta,,James Baldwin,James Baldwin 37 Allan Warren (cropped).jpg,Q273210,États-Unis,Américaine,9782234088238,8,5,2020,2020-08-05T00:00:00Z,8,8,2020,2020-08-08T00:00:00Z,3,M,Ebook,180,Stock
American Tabloid,,James Ellroy,JamesEllroy.jpg,Q318487,États-Unis,Américaine,9782743656485,5,15,2020,2020-05-15T00:00:00Z,6,6,2020,2020-06-06T00:00:00Z,22,M,Broché,784,Rivages
Americain Death trip,,James Ellroy,JamesEllroy.jpg,Q318487,États-Unis,Américaine,9782743611705,6,6,2020,2020-06-06T00:00:00Z,7,15,2020,2020-07-15T00:00:00Z,39,M,Broché,960,Rivages
Underworld USA,,James Ellroy,JamesEllroy.jpg,Q318487,États-Unis,Américaine,9782743656492,7,16,2020,2020-07-16T00:00:00Z,8,4,2020,2020-08-04T00:00:00Z,19,M,Broché,928,Rivages
Orgueil et Préjugés,Q170583,Jane Austen,CassandraAusten-JaneAusten(c.1810) hires.jpg,Q36322,Royaume-Uni de Grande-Bretagne et d'Irlande,Britannique,9782081229501,4,4,2020,2020-04-04T00:00:00Z,4,11,2020,2020-04-11T00:00:00Z,7,F,Ebook,368,Flammarion
La femme silencieuse,,Janet Malcolm,Janet Malcolm 3.18.13a.jpg,Q6153486,États-Unis,Américaine,9782364685390,6,18,2023,2023-06-18T00:00:00Z,6,26,2023,2023-06-26T00:00:00Z,8,F,Ebook,240,Du Sous-sol
